           v            j       Evj          
           0           0  -113.17422430530699         
           0           1  -113.17418952553322     
           0           2  -113.17411996863068     
           0           3  -113.17401563988707     
           0           4  -113.17387654723667     
           0           5  -113.17370270125625     
           0           6  -113.17349411516533     
           0           7  -113.17325080482823     
           0           8  -113.17297278874902     
           0           9  -113.17266008807061     
           0          10  -113.17231272657858     
   ***************************************************************************************************************        
           1           0  -113.16051549876283  
           1           1  -113.16048116687988  
           1           2  -113.16041250575840
           1           3  -113.16030952068476
           1           4  -113.16017221958812
           1           5  -113.16000061304304
           1           6  -113.15979471426196
           1           7  -113.15955453910254 
           1           8  -113.15928010606129 
           1           9  -113.15897143627296 
           1          10  -113.15862855351502        
