Wavenumber(cm-1),Intensity
2.165870307167235296e+03,1.000000000000000000e+00
2.165802047781569854e+03,1.000000000000000000e+00
2.165733788395904412e+03,1.000000000000000000e+00
2.165870307167235296e+03,9.990689013035382038e-01
2.165733788395904412e+03,9.990689013035382038e-01
2.165870307167235296e+03,9.981378026070762965e-01
2.165733788395904412e+03,9.981378026070762965e-01
2.165870307167235296e+03,9.972067039106145003e-01
2.165733788395904412e+03,9.972067039106145003e-01
2.165870307167235296e+03,9.962756052141527041e-01
2.165733788395904412e+03,9.962756052141527041e-01
2.165870307167235296e+03,9.953445065176909079e-01
2.165733788395904412e+03,9.953445065176909079e-01
2.165870307167235296e+03,9.944134078212290007e-01
2.165733788395904412e+03,9.944134078212290007e-01
2.165870307167235296e+03,9.934823091247672044e-01
2.165733788395904412e+03,9.934823091247672044e-01
2.165870307167235296e+03,9.925512104283054082e-01
2.165733788395904412e+03,9.925512104283054082e-01
2.164232081911262867e+03,9.925512104283054082e-01
2.164163822525597425e+03,9.925512104283054082e-01
2.164095563139931528e+03,9.925512104283054082e-01
2.165870307167235296e+03,9.916201117318436120e-01
2.165733788395904412e+03,9.916201117318436120e-01
2.164232081911262867e+03,9.916201117318436120e-01
2.164095563139931528e+03,9.916201117318436120e-01
2.165870307167235296e+03,9.906890130353817048e-01
2.165733788395904412e+03,9.906890130353817048e-01
2.164232081911262867e+03,9.906890130353817048e-01
2.164095563139931528e+03,9.906890130353817048e-01
2.165870307167235296e+03,9.897579143389199086e-01
2.165733788395904412e+03,9.897579143389199086e-01
2.164232081911262867e+03,9.897579143389199086e-01
2.164095563139931528e+03,9.897579143389199086e-01
2.165870307167235296e+03,9.888268156424581123e-01
2.165733788395904412e+03,9.888268156424581123e-01
2.164232081911262867e+03,9.888268156424581123e-01
2.164095563139931528e+03,9.888268156424581123e-01
2.165870307167235296e+03,9.878957169459963161e-01
2.165733788395904412e+03,9.878957169459963161e-01
2.164232081911262867e+03,9.878957169459963161e-01
2.164095563139931528e+03,9.878957169459963161e-01
2.165870307167235296e+03,9.869646182495344089e-01
2.165733788395904412e+03,9.869646182495344089e-01
2.164232081911262867e+03,9.869646182495344089e-01
2.164095563139931528e+03,9.869646182495344089e-01
2.165870307167235296e+03,9.860335195530726127e-01
2.165733788395904412e+03,9.860335195530726127e-01
2.164232081911262867e+03,9.860335195530726127e-01
2.164095563139931528e+03,9.860335195530726127e-01
2.165870307167235296e+03,9.851024208566108165e-01
2.165733788395904412e+03,9.851024208566108165e-01
2.164232081911262867e+03,9.851024208566108165e-01
2.164095563139931528e+03,9.851024208566108165e-01
2.165870307167235296e+03,9.841713221601490202e-01
2.165733788395904412e+03,9.841713221601490202e-01
2.164232081911262867e+03,9.841713221601490202e-01
2.164095563139931528e+03,9.841713221601490202e-01
2.165870307167235296e+03,9.832402234636871130e-01
2.165733788395904412e+03,9.832402234636871130e-01
2.164232081911262867e+03,9.832402234636871130e-01
2.164095563139931528e+03,9.832402234636871130e-01
2.165870307167235296e+03,9.823091247672253168e-01
2.165733788395904412e+03,9.823091247672253168e-01
2.164232081911262867e+03,9.823091247672253168e-01
2.164095563139931528e+03,9.823091247672253168e-01
2.165870307167235296e+03,9.813780260707635206e-01
2.165733788395904412e+03,9.813780260707635206e-01
2.164232081911262867e+03,9.813780260707635206e-01
2.164095563139931528e+03,9.813780260707635206e-01
2.165870307167235296e+03,9.804469273743017244e-01
2.165733788395904412e+03,9.804469273743017244e-01
2.164232081911262867e+03,9.804469273743017244e-01
2.164095563139931528e+03,9.804469273743017244e-01
2.165870307167235296e+03,9.795158286778398171e-01
2.165733788395904412e+03,9.795158286778398171e-01
2.164232081911262867e+03,9.795158286778398171e-01
2.164095563139931528e+03,9.795158286778398171e-01
2.165870307167235296e+03,9.785847299813780209e-01
2.165733788395904412e+03,9.785847299813780209e-01
2.164232081911262867e+03,9.785847299813780209e-01
2.164095563139931528e+03,9.785847299813780209e-01
2.165870307167235296e+03,9.776536312849162247e-01
2.165733788395904412e+03,9.776536312849162247e-01
2.164232081911262867e+03,9.776536312849162247e-01
2.164095563139931528e+03,9.776536312849162247e-01
2.165870307167235296e+03,9.767225325884544285e-01
2.165733788395904412e+03,9.767225325884544285e-01
2.164232081911262867e+03,9.767225325884544285e-01
2.164095563139931528e+03,9.767225325884544285e-01
2.165870307167235296e+03,9.757914338919925212e-01
2.165733788395904412e+03,9.757914338919925212e-01
2.164232081911262867e+03,9.757914338919925212e-01
2.164095563139931528e+03,9.757914338919925212e-01
2.165870307167235296e+03,9.748603351955307250e-01
2.165733788395904412e+03,9.748603351955307250e-01
2.164232081911262867e+03,9.748603351955307250e-01
2.164095563139931528e+03,9.748603351955307250e-01
2.165870307167235296e+03,9.739292364990689288e-01
2.165733788395904412e+03,9.739292364990689288e-01
2.164232081911262867e+03,9.739292364990689288e-01
2.164095563139931528e+03,9.739292364990689288e-01
2.165870307167235296e+03,9.729981378026070216e-01
2.165733788395904412e+03,9.729981378026070216e-01
2.164232081911262867e+03,9.729981378026070216e-01
2.164095563139931528e+03,9.729981378026070216e-01
2.165870307167235296e+03,9.720670391061452253e-01
2.165733788395904412e+03,9.720670391061452253e-01
2.164232081911262867e+03,9.720670391061452253e-01
2.164095563139931528e+03,9.720670391061452253e-01
2.165870307167235296e+03,9.711359404096834291e-01
2.165733788395904412e+03,9.711359404096834291e-01
2.164232081911262867e+03,9.711359404096834291e-01
2.164095563139931528e+03,9.711359404096834291e-01
2.165870307167235296e+03,9.702048417132216329e-01
2.165733788395904412e+03,9.702048417132216329e-01
2.164232081911262867e+03,9.702048417132216329e-01
2.164095563139931528e+03,9.702048417132216329e-01
2.165870307167235296e+03,9.692737430167597257e-01
2.165733788395904412e+03,9.692737430167597257e-01
2.164232081911262867e+03,9.692737430167597257e-01
2.164095563139931528e+03,9.692737430167597257e-01
2.165870307167235296e+03,9.683426443202979295e-01
2.165733788395904412e+03,9.683426443202979295e-01
2.164232081911262867e+03,9.683426443202979295e-01
2.164095563139931528e+03,9.683426443202979295e-01
2.165870307167235296e+03,9.674115456238361332e-01
2.165733788395904412e+03,9.674115456238361332e-01
2.164232081911262867e+03,9.674115456238361332e-01
2.164095563139931528e+03,9.674115456238361332e-01
2.165870307167235296e+03,9.664804469273743370e-01
2.165733788395904412e+03,9.664804469273743370e-01
2.164232081911262867e+03,9.664804469273743370e-01
2.164095563139931528e+03,9.664804469273743370e-01
2.162593856655289983e+03,9.664804469273743370e-01
2.162525597269624541e+03,9.664804469273743370e-01
2.162457337883959099e+03,9.664804469273743370e-01
2.165870307167235296e+03,9.655493482309124298e-01
2.165733788395904412e+03,9.655493482309124298e-01
2.164232081911262867e+03,9.655493482309124298e-01
2.164095563139931528e+03,9.655493482309124298e-01
2.162593856655289983e+03,9.655493482309124298e-01
2.162457337883959099e+03,9.655493482309124298e-01
2.165870307167235296e+03,9.646182495344506336e-01
2.165733788395904412e+03,9.646182495344506336e-01
2.164232081911262867e+03,9.646182495344506336e-01
2.164095563139931528e+03,9.646182495344506336e-01
2.162593856655289983e+03,9.646182495344506336e-01
2.162457337883959099e+03,9.646182495344506336e-01
2.165870307167235296e+03,9.636871508379888374e-01
2.165733788395904412e+03,9.636871508379888374e-01
2.164232081911262867e+03,9.636871508379888374e-01
2.164095563139931528e+03,9.636871508379888374e-01
2.162593856655289983e+03,9.636871508379888374e-01
2.162457337883959099e+03,9.636871508379888374e-01
2.165870307167235296e+03,9.627560521415270411e-01
2.165733788395904412e+03,9.627560521415270411e-01
